Link_Name,Link_Type,SERVICE,Rack,OTB,Port,Distance (m),KET
HOTEL MERCURE CIKINI,PAKET OPTIMA,TV ONLY ANALOG,1,3,11,5308,
DCS SPIDER GRAHA MANDIRI,,SPYDER,1,3,12,7570,
DCS SLM-PE-10 TO VNL-PE-01 / DCS SPIDER PINILION PRIMARI,,SPYDER,1,3,13,2329,
DCS SLM-PE-10 TO VNL-PE-01 / DCS SPIDER PINILION PRIMARI,,SPYDER,1,3,14,2329,
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,15,-,
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,16,-,
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,17,19236,21000 m
EONA DWDM SLM <> BDN UJB,,BACKBONE,1,3,18,19192,21000 m
MDS PASAR BARU,,DCS,1,3,19,8579,
NOVOTEL MANGGA DUA (TV) terminet info RDHN / 27.11.2023,,TV ONLY ANALOG,1,3,20,13252,
PUSKESMAS KECAMATAN SENEN,,PE,1,3,21,3523,
ASKOM SW-01 RX,,DCS,1,3,22,1705,
ASKOM SW-01 TX,,DCS,1,3,23,1705,
HOTEL ZIO SANNO MENTENG,,,1,3,24,7970,
DCS UOB KUSTODIAN / ks-idx-uobbank,,DCS,1,3,25,8991,
WAHANA DUTA JAYA,,DCS,1,3,26,5446,
DSL11200,TX,TV + INTERNET,1,3,27,5564,
DSL11200,RX,TV + INTERNET,1,3,28,5564,
DSL12300,TX,TV + INTERNET,1,3,29,7451,
DSL12300,RX,TV + INTERNET,1,3,30,7451,
DSL22200,TX,TV + INTERNET,1,3,31,6530,
DSL22200,RX,TV + INTERNET,1,3,32,6530,
ASURANSI JASA INDONESIA (HDIPA 100/1000Mbps),,DCS,1,3,33,5.753,
BACKBONE ANALOG CG-KG via SALEMBA (ARAH CG),,BACKBONE,1,3,34,13924,
[CG-P-04][Te0/1/0/3/8] SLM?PE-10 TO CG-P-04,,BACKBONE,1,3,35,5621,
[CG-P-04][Te0/1/0/3/8] SLM?PE-10 TO CG-P-04,,BACKBONE,1,3,36,13922,
IDLE,,,1,3,37,,
IDLE,,,1,3,38,,
DCS TIMUR RAYA ALAM DAMAI udh terminite   idlle,,DCS,1,3,39,16465,
DCS BANGUN CEMARA 2 REDUNDANT,,DCS,1,3,40,7858,
DIGITAL SALEMBA REDUNDANT 2 FROM BSP,,BACKBONE,1,3,41,29043,
PE-CG-KG via SALEMBA TX (ARAH CG),,PATCHING,1,3,42,27449,
PE-CG-KG via SALEMBA RX (ARAH CG),,PATCHING,1,3,43,27583,
IDLE,,,1,3,44,,
SLM-PE-10 to GMP-PE-02,,BACKBONE,1,3,45,10666,
DCS WALI GEREJA,,,1,3,46,-,
SLM-PE-10 to GMP-PE-02,,BACKBONE,1,3,47,3600,
IDLE,,,1,3,48,-,
DSL12700,TX,TV + INTERNET,1,3,49,4506,
DCS PROFINDO SECURITAS,,DCS,1,3,50,8447,
DSL13500,TX,TV + INTERNET,1,3,51,7105,
WAHANA DEUTSCHE BANK (slm pe-02 port 14),,,1,3,52,-,
HOTEL DES INDES ASL20700,,TV ONLY ANALOG,1,3,53,5563,
HOTEL MAX ONE SABANG,,TV ONLY ANALOG,1,3,54,7270,
HOTEL GORDEN TULIP ASL11600,,TV ONLY ANALOG,1,3,55,8124,
DSL10100,RX,TV + INTERNET,1,3,56,6382,
HOTEL LUWANSA,,TV ONLY ANALOG,1,3,57,10.361,
DSL10100,TX,TV + INTERNET,1,3,58,6382,
DCS TRIKARYA IDEA SAKTI,,DCS,1,3,59,8098,
PT SETKER TNI AL ( MAKO KORMAR )  ( MABES ),,DCS,1,3,60,9869,
INTERNUSA TRIBUANA CITRA(DIGITAL QUANTUM),,DCS,1,3,61,9735,9735
DCS KWI (KONFRENSI WALI GEREJA),,DCS,1,3,62,5879,
IDLE,,,1,3,63,,
MAXONE HAYAM WURUK,,TV ONLY ANALOG,1,3,64,13922,
WAHANA NUSANTARA HOTEL WESTIN REDUNDANT,,DCS,1,3,65,10431,
HOTEL WESTIN REDUNDANT,,TV ONLY ANALOG,1,3,66,10121,
DCS BTPSP,,DCS,1,3,67,9440,
PERTAMINA KRAMAT DSL172,NA,TV ONLY DIGITAL,1,3,68,4469,
DSL16700,TX,TV + INTERNET,1,3,69,6619,
DSL16700,RX,TV + INTERNET,1,3,70,6616,
DCS DISJARAH AL / BENDAHARA PENGELUARAN MABES TNI AL-DISJARAH,,DCS,1,3,71,2196,
HOTEL R17 ASL220 (Ashley tanah abang/sabang) /ASHLEY SABANG,,TV ONLY ANALOG,1,3,72,9500,
DIGITAL SALEMBA REDUNDENT 1 FROM BSP,,BACKBONE,1,4,1,17913,
DCS LP3I KRAMAT,,DCS,1,4,2,1359,
DCS KUSUBDITLAKBIA DITKUAD,,DCS,1,4,3,6284,
DCS RSCP KENCANA,,DCS,1,4,4,4852,
IDLE,,,1,4,5,-,
KEMENDAL,,DCS,1,4,6,5276,
DANASAKTI SEKURITAS INDONESIA PRIMAR,,DCS,1,4,7,1265,
SUKU DINAS CIPTA KARYA KEC.SENEN ( PUSDATIN_Cipta Karya_Tata Ruang ),[EX_J00030-001] SLM-NCS-02 port 3,DCS,1,4,8,2800,
DCS AIA FINANCIAL ASTRA GRAPHIA,,DCS,1,4,9,2520,
PKB,,DCS,1,4,10,2163,
DSL22100,TX,TV + INTERNET,1,4,11,7866,
NO LABLE,RX,TV + INTERNET,1,4,12,-,
DSL10300,TX,TV + INTERNET,1,4,13,6109,
DSL10300,RX,TV + INTERNET,1,4,14,6109,
DCS VISIONET SILOAM MEDIKA,,DCS,1,4,15,7212,
DCS  BANK MNC INTERNATIONAL,,DCS,1,4,16,5276,
DCS TUGU REASURANSI adv  /  IDCLOUD-PE-01 to SLM-PE-12,,DCS,1,4,17,3104,
HOTEL CEMARA REDUNDANT,,TV ONLY ANALOG,1,4,18,6023,
MAXONE HAYAM WURUK,TX,TV + INTERNET,1,4,19,3074,
DANA REKSA,,TV ONLY ANALOG,1,4,20,-,
DSL22100,RX,TV + INTERNET,1,4,12,7866,
PRIMA HOTEL ASHLEY / ASHLEY TANAH ABANG,,TV ONLY ANALOG,1,4,22,14653,
DSL12500,TX,TV + INTERNET,1,4,23,2018,
DSL12500,RX,TV + INTERNET,1,4,24,2018,
DCS SPIDER HANURATA,AKTIF,SPYDER,1,4,25,10277,
DCS SPIDER HANURATA,DISCONECT,SPYDER,1,4,26,10277,
DCS MDS ATRIUM,,DCS,1,4,27,5347,
PROMENADE / PRO,,TV + INTERNET,1,4,28,9.937,
WAHANA DEUTSCHE BANK (slm pe-02 port 14),,TV + INTERNET,1,4,29,,
DANA REKSA,,DCS,1,4,30,-,
DWDM LH SLM - BDN,,BACKBONE,1,4,31,15732,
DWDM CISCO CG-SLM,,BACKBONE,1,4,32,15625,
AIRMAS ASRI,,PE-03 PORT 10,1,4,33,3061,
PRIMARY WDM 2 RX,,TV + INTERNET,1,4,34,6920,
PRIMARY WDM 2 TX,,TV + INTERNET,1,4,35,6920,
DCS KU-PUS PENERBAD,,DCS,1,4,36,1362,
IDLE,,,1,4,37,-,
IDLE,,,1,4,38,-,
IDLE,,,1,4,39,-,
IDLE,,,1,4,40,-,
IDLE,,,1,4,41,-,
IDLE,,,1,4,42,-,
IDLE,,,1,4,43,-,
IDLE,,,1,4,44,-,
IDLE,,,1,4,45,-,
IDLE,,,1,4,46,-,
IDLE,,,1,4,47,-,
IDLE,,,1,4,48,-,
DSL09000,RX,TV + INTERNET,1,4,49,6839,
DSL09000,TX,TV + INTERNET,1,4,50,6836,
REDUNDENT WDM 1 RX,,BACKBONE WDM,1,4,51,7.133,
REDUNDENT WDM 1 TX,,BACKBONE WDM,1,4,52,7133,
DSL09100,TX,TV + INTERNET,1,4,53,8194,
DSL09100,RX,TV + INTERNET,1,4,54,8194,
DSL12200,TX,TV + INTERNET,1,4,55,8576,
DSL12200,RX,TV + INTERNET,1,4,56,8576,
DSL09600,TX,TV + INTERNET,1,4,57,9033,
DSL09600,RX,TV + INTERNET,1,4,58,9033,
DSL17500,TX,TV + INTERNET,1,4,59,6643,
DSL17500,RX,TV + INTERNET,1,4,60,6643,
IDLE,,,1,4,61,6763,
IDLE,,,1,4,62,6765,
DCS KEMENTRIAN PERTAHANAN (KU-PUSPOMAD) MERDEKA TIMUR,,DCS,1,4,63,4711,
DSL228,TX,TV + INTERNET,1,4,64,8270,
DWDM TO DAAN MOGOT,,BACKBONE,1,4,65,34720,
DCS EQUITY SECURITIES INDONESIA,,DCS,1,4,66,11310,
DCS MALKOLANTAMAL 2,,DCS,1,4,67,14562,
DCS BARESKRIM LT.2,,DCS,1,4,68,1365,
DCS BARESKRIM LT.1,,DCS,1,4,69,4679,
IDLE,,,1,4,70,-,
ANALOG SLM<>BDN (PAKET 13),,TV ONLY ANALOG,1,4,71,18917,
ANALOG SLM<>BDN (PAKET BASIC),,TV ONLY ANALOG,1,4,72,18046,
DCS PUSAT DATA & INFORMASI CIPTA KARYA TATA RUANG & PERTAHANAN KECAMATAN MATRAMAN,,DCS,1,5,1,4472,
DCS KECAMATAN CEMPAKA PUTIH PTSK,,DCS,1,5,2,3688,
DSL23600,RX,TV + INTERNET,1,5,3,8663,
DSL23600,TX,TV + INTERNET,1,5,4,8674,
APT. KESINGTON RX,,PE,1,5,5,11485,
APT. KESINGTON TX,,PE,1,5,6,11485,
Rsebuild FTTH BB JBU03 TO HUB SALEMBA,,DCS,1,5,7,6687,
Rsebuild FTTH BB JBU03 TO HUB SALEMBA,,,1,5,8,6688,
DSL23500,RX,TV + INTERNET,1,5,9,8393,
DSL23500,TX,TV + INTERNET,1,5,10,8397,
DCS BINA MARGA  KECAMATANA MATRAMAN,,DCS,1,5,11,4634,
DCS SUKU DINAS TATA AIR JAKARTA UTARA,,,1,5,12,18528,
DSL19800,TX,TV + INTERNET,1,5,13,10921,
DSL19800,RX,TV + INTERNET,1,5,14,10921,
DSL19700,TX,TV + INTERNET,1,5,15,10718,
DSL19700,RX,TV + INTERNET,1,5,16,10718,
DSL04000,RX,TV + INTERNET,1,5,17,6484,
DSL04000,TX,TV + INTERNET,1,5,18,6483,
DSL11400,TX,TV + INTERNET,1,5,19,7662,
DSL11400,RX,TV + INTERNET,1,5,20,7662,
DSL11500,TX,TV + INTERNET,1,5,21,7568,
DSL11500,RX,TV + INTERNET,1,5,22,7570,
DSL11700 / GRAND PALACE APARTEMENT,TX,TV + INTERNET,1,5,23,7878,
DSL11700,RX,TV + INTERNET,1,5,24,7878,
DIGITAL REDUNDANT KELAPA GADING FROM SLM,,BACKBONE,1,6,1,15526,
BACKBONE ANALOG CG - KG VIA SALEMBA (arah KG),,PACHING,1,6,2,12455,
IDLE,,,1,6,3,-,
ANUGERAH ANUGRAH,,DCS,1,6,4,11120,
PE 10 CG - KG VIA SALEMBA (ARAH KG),,PATCHING,1,6,5,12534,
PE 10 CG - KG VIA SALEMBA,,PATCHING,1,6,6,12528,
DSL20500,RX,TV + INTERNET,1,6,7,10387,
DSL20500,TX,TV + INTERNET,1,6,8,10387,
DSL25100,TX,TV + INTERNET,1,6,9,8695,
DSL25100,RX,TV + INTERNET,1,6,10,8695,
IDLE,,,1,6,11,,
IDLE,,,1,6,12,,
IDLE EX-DSL195 TX,,TV + INTERNET,1,6,13,15952,
IDLE EX-DSL195 RX,,TV + INTERNET,1,6,14,15952,
IDLE EX-DSL196 TX,,TV + INTERNET,1,6,15,15413,
IDLE,,,1,6,16,-,
IDDLE,,SPYDER,1,6,17,1077,
IDDLE,,SPYDER,1,6,18,12043,
 ,,DCS,1,6,19,2196,
HONDA PROSPECT MOTOR,,DCS,1,6,20,11861,
THE MANSION JASMINE (TMJ-PE-01), ?,,1,6,21,17796,
DUA TEPIAN SUNGAI,,DCS,1,6,22,5591,
APT HOLAN VILAGE ( HLD PE 02 ),,,1,6,23,8394,
APT HOLAN VILAGE ( HLD PE 02 ),,,1,6,24,8394,
DWDM CISCO METRO SLM <> KG,,,1,6,25,19573,
IDLE,,,1,6,26,-,
DWDM CISCO METRO SLM <> KG,,,1,6,27,15037,
THE MANSION JASMINE (TMJ-PE-01),,,1,6,28,17796,
DWDM SLM-KG RE-ENG,,,1,6,29,-,
SLM KG LONG HOUL / DWDM CISCO LH SLM KLG,,,1,6,30,15014,
SLM KG LONG HOUL / DWDM CISCO LH SLM KLG,,,1,6,31,15014,
NO LABLE,,,1,6,32,-,
DSL18100,TX,TV + INTERNET,1,6,33,7225,
DSL18100,RX,TV + INTERNET,1,6,34,7225,
IDLE, ?,,1,6,35,-,
IDLE, ?,,1,6,36,-,
DSL23800,RX,TV + INTERNET,1,6,37,7558,
DINAS CIPTA KARYA PUSDATIN KEMAYORAN,,PE-03,1,6,38,10769,
DSL23800,TX,TV + INTERNET,1,6,39,7558,
SLM PE 03 INTERNALLINK SPIDER HLD PE 01,,,1,6,40,8711,
